Course Name,Madgrades Link,Course Code,Average GPA
Fundamentals of Management and Marketing for Non-Business Majors,https://madgrades.com/courses/0a5e53ec-c12c-397e-ac55-bc624084df39,GEN BUS 311,3.323
Insects and Human Culture-a Survey Course in Entomology,https://madgrades.com/courses/38b29a1f-0add-3dae-89b4-7e10f6187569,ENTOM / ENVIR ST 201,3.650
Fluid Dynamics,https://madgrades.com/courses/f59200a4-b53b-3273-afd6-c594446077e1,M E 363,3.091
Politics Around the World,https://madgrades.com/courses/3d984241-e3de-3fb1-966c-f13eb5df69ca,POLI SCI 106,2.955
Mechanics of Materials,https://madgrades.com/courses/3f8f938d-9aa5-3c9c-a01f-0fe59c31dfaa,M E 306,2.963
Introductory Statistics for Engineers,https://madgrades.com/courses/b013a134-06a6-31a9-9e46-128d03b4700e,STAT 224,3.070
"Gender, Women, and Society in Global Perspective",https://madgrades.com/courses/084d78bf-49e7-348f-a759-21422a30849b,WOMEN ST 102,3.474
"American History, Civil War Era to the Present",https://madgrades.com/courses/b9dc2573-b740-394d-bc31-7ece78db1b38,HISTORY 102,3.350
Introduction to Agricultural and Applied Economics,https://madgrades.com/courses/94af352f-79af-3952-b895-c99ec5fa70c6,A A E 215,3.115
Introduction to Cross-Cultural Literary Forms,https://madgrades.com/courses/2475767a-b994-3321-ab1a-48179af9b2d6,COMP LIT 203,3.437
Reason in Communication,https://madgrades.com/courses/c24eaca7-d0b4-36cf-9529-4d2bfc996a4c,PHILOS 210,3.169
Methods of Sociological Inquiry,https://madgrades.com/courses/b8714a0f-43fa-3424-b9bf-79cdaccb2422,RUR SOC / SOC 357,3.401
Primates and Us: Insights into Human Biology and Behavior,https://madgrades.com/courses/4faeca7c-f180-30cb-b440-4874784da918,PSYCH 450,3.227
Cooperative Education Program,https://madgrades.com/courses/a3e3e1c3-543d-3bb5-ae65-5f2aec4ad1de,B M E / CBE / CIV ENGR / E C E / E M A / G L E / I SY E / M E / M S & E / N E 1,3.950
Introduction to Interpersonal Communication,https://madgrades.com/courses/d04c2f85-6a19-37f8-91a0-aa6cf659eaca,COM ARTS 272,3.130
Fundamentals of Accounting and Finance for Non-Business Majors,https://madgrades.com/courses/491b7c48-edd7-334a-b0fe-468c9f2c2391,GEN BUS 310,3.145
Introduction to Media Production,https://madgrades.com/courses/6bfc902f-3dca-3af0-aed5-d4dd56e58f6b,COM ARTS 355,3.304
Electrical and Electronic Circuits,https://madgrades.com/courses/d11cbbaf-1a50-3827-9571-815159ef2d9f,E C E 376,3.142
"Amer Hist to the Civil War Era, the Origin & Growth of the U S",https://madgrades.com/courses/1c84080e-6d59-355f-bf5b-e9cdb99bf32f,HISTORY 101,3.356
Introduction to Political Theory,https://madgrades.com/courses/82b5020a-d5e7-352c-a49e-e0d068f5f6e2,POLI SCI 209,3.291
Human Resource Management,https://madgrades.com/courses/1ab1dca5-d13e-3d79-8691-551980a83ab6,M H R 305,3.324
Survey of Sociology,https://madgrades.com/courses/169a9a1d-a9cf-3929-a2a6-765bc47b109e,RUR SOC / SOC 210,3.321
Dynamics,https://madgrades.com/courses/3fe3022e-d445-326c-93f1-b4a08581f0c7,M E 240,2.945
Theory and Practice of Argumentation and Debate,https://madgrades.com/courses/59749b7e-9f6b-39e0-a444-ef4e70774f9c,COM ARTS 262,3.328
"Plants, Parasites, and People",https://madgrades.com/courses/81dbd601-eaee-3c00-b2e9-a7824ebee5fb,BOTANY / PL PATH 123,3.342
Archaeology and the Prehistoric World,https://madgrades.com/courses/72d09afe-5e88-3ee1-93c4-c1f59c685fa1,ANTHRO 102,2.967
Introduction to Music Cultures of the World,https://madgrades.com/courses/d78c7fa4-6e5b-3986-a847-0ba488bf4cea,FOLKLORE / MUSIC 103,3.588
Environmental Studies: The Social Perspective,https://madgrades.com/courses/50c4ce66-7d75-3f1b-859f-192728af30d8,ENVIR ST 112,3.661
Child Psychology,https://madgrades.com/courses/6a8e91d4-0b1a-3958-a1ac-111d819aa881,PSYCH 560,3.256
"Exercise,Nutrition,&Health",https://madgrades.com/courses/c783e2d6-defb-3302-b422-7d9fff2db475,PE ACTIV 100,2.577
History of American Education,https://madgrades.com/courses/997e692c-7e9d-3808-94fb-32e22c53b6f5,ED POL / HISTORY 412,3.413
Topics-Finite Mathematics,https://madgrades.com/courses/70ed2244-cda1-312b-a31f-ccd3ea7f481f,MATH 210,2.857
History of Western Art II: From Renaissance to Contemporary,https://madgrades.com/courses/1d33489a-f1d9-3de3-80bd-480fafafd27f,ART HIST 202,3.406
"Exercise, Nutrition, and Health",https://madgrades.com/courses/fccdce59-3a95-3836-99e1-9703e7b7da91,KINES 100,2.745
Living in the Global Environment: An Introduction to People-Environment Geography,https://madgrades.com/courses/45e30d2e-c57c-338a-ac09-a2f341bc20f6,ENVIR ST / GEOG 139,3.296
"Gender, Women, and Cultural Representation",https://madgrades.com/courses/5395f5c6-68c4-3a81-ab4b-525365d12c55,WOMEN ST 101,3.589
Dynamics,https://madgrades.com/courses/ece77d76-3d23-3853-b3c1-bfae82c0a89e,E M A 202,2.790
Marketing Research,https://madgrades.com/courses/dd4b07b8-4e17-3671-a8cc-875a3a42c0f0,MARKETNG 310,3.418
School and Society,https://madgrades.com/courses/7f57bd2f-b952-3223-8fa5-e5a7621e25ef,ED POL 300,3.788
Language Development in Children and Adolescents,https://madgrades.com/courses/4923ed83-74bb-389e-88e2-e66faf1f121d,COM DIS 240,3.528
Problem Solving Using Computers,https://madgrades.com/courses/723bb90e-7865-35bf-b4f4-7f2978dbd413,COMP SCI 310,3.153
Data Sci Programming I,https://madgrades.com/courses/7ea3c96f-5246-39ac-9c22-eff420630de2,COMP SCI 220,3.550
Introduction to Dynamic Systems,https://madgrades.com/courses/e7d47959-3c85-3d61-9c80-19e9d35f7b2e,M E 340,3.122
Introduction to Data Programming,https://madgrades.com/courses/613fbdc2-d4e9-3ac0-ae9b-af126ae97119,COMP SCI 301,3.263
Chemistry in Our World,https://madgrades.com/courses/0c30e282-eb30-3b45-9bc4-41d9847c39fe,CHEM 108,2.989
Database Management Systems: Design and Implementation,https://madgrades.com/courses/0792eac4-46ac-3e08-8cd0-858349ff66d1,COMP SCI 564,3.272
Mass Communication Practices,https://madgrades.com/courses/da063f81-165e-3f2d-9dad-3e88d7049b67,JOURN 202,3.432
Physiology,https://madgrades.com/courses/77e0a0f2-fdd9-3029-9f4c-d6970eea8c58,ANAT&PHY 335,2.862
Human Nutritional Needs,https://madgrades.com/courses/be2695ba-f615-3b00-ab21-523a65e4aa19,NUTR SCI 332,3.017
World Hunger and Malnutrition,https://madgrades.com/courses/831f0dde-2fb2-3c92-bc8e-b3f3a7e8389b,A A E / AGRONOMY / INTER-AG / NUTR SCI 350,3.437
General Biochemistry I,https://madgrades.com/courses/51ceac97-fc65-3416-a06b-eb330e2a0b19,BIOCHEM 507,3.038
Theory and Practice of Persuasion,https://madgrades.com/courses/b3aa0423-3ce3-31f5-8e9e-7dae5fc6fb6e,COM ARTS 368,3.126
The Big Bands,https://madgrades.com/courses/475e7456-61b0-321b-8372-11cb983326ce,MUSIC 205,3.431
Elementary Heat Transfer,https://madgrades.com/courses/6d1883ee-5819-3a3e-b84b-0fa69229f394,M E 364,3.139
Introduction to the Theory of Probability,https://madgrades.com/courses/3ef3ba60-426e-39ad-a61f-17d381b193d6,MATH / STAT 431,2.968
Engineering Economic Analysis,https://madgrades.com/courses/385c2532-1f76-38cd-bb41-0b0b5bf44cec,ACCT I S / I SY E 313,3.356
Fundamentals of Analytical Science,https://madgrades.com/courses/b09d6895-c1aa-3bf6-a3fc-4f4598ecd577,CHEM 329,3.177
Criminology,https://madgrades.com/courses/1b854f6c-48a8-38a2-93f2-581c46da7a67,SOC 441,3.293
Introduction to Public Health: Local to Global Perspectives,https://madgrades.com/courses/0d7f8b7f-866b-36f7-a206-8dce1268dddf,POP HLTH 370,3.507
Alcohol and Other Drug Abuse,https://madgrades.com/courses/234e0c39-7225-3b34-af9e-d736e6a1d717,SOC WORK 453,3.539
Mechanics of Materials,https://madgrades.com/courses/0f8dba89-a050-31a7-851d-9b308b66ddf8,E M A 303,2.837
Contemporary Topics,https://madgrades.com/courses/ee59303e-cd42-38a0-911d-a79f76b9a0a0,GEN BUS 765,3.745
